	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
756	10278	-1							1.0	0.40285328	ISDB	http://www.wikidata.org/entity/Q105182664	NONPMXXPXAQDJV-QWRGUYRKSA-N	InChI=1S/C12H20O3/c1-7-10(11(14)8(2)3)12(5,6)15-9(4)13/h7,10-11,14H,1-2H2,3-6H3/t10-,11-/m0/s1	C=C[C@@H]([C@@H](O)C(=C)C)C(C)(C)OC(C)=O	C12H20O3		212.14124449999997	(3S,4R)-3-ethenyl-4-hydroxy-2,5-dimethylhex-5-en-2-yl acetate	NONPMXXPXAQDJV	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q26663	Artemisia vulgaris	1092844.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia vulgaris']		['Eukaryota']									1	0	2.61141300201416	1
758	10267	728	Terpenoids	1.0	Monoterpenoids	1.0	Menthane monoterpenoids	0.6	2.0	0.5743039	ISDB	http://www.wikidata.org/entity/Q27159767	LTMQZVLXCLQPCT-UHFFFAOYSA-N	InChI=1S/C13H18/c1-10-6-7-12-11(9-10)5-4-8-13(12,2)3/h6-7,9H,4-5,8H2,1-3H3	Cc1ccc2c(c1)CCCC2(C)C	C13H18		174.140850576	α-ionene	LTMQZVLXCLQPCT	Terpenoids	Sesquiterpenoids	Himachalane sesquiterpenoids	http://www.wikidata.org/entity/Q59420273	Feijoa sellowiana	9529.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Myrtales']	['Myrtaceae']	['Myrteae']	['Acca']	['Acca sellowiana']		['Eukaryota']									1	1	3.797215700149536	1
761	10263	-1							18.0	0.3611611	ISDB	http://www.wikidata.org/entity/Q105370659	ZBJPVPFEDGYYBD-UHFFFAOYSA-N	InChI=1S/C15H28O2/c1-11(2)7-6-9-15(5,17)13-8-10-14(4,16)12(13)3/h7,12-13,16-17H,6,8-10H2,1-5H3	CC(C)=CCCC(C)(O)C1CCC(C)(O)C1C	C15H28O2		240.208930136	3-(2-hydroxy-6-methylhept-5-en-2-yl)-1,2-dimethylcyclopentan-1-ol	ZBJPVPFEDGYYBD	Terpenoids	Sesquiterpenoids	Cyclonerane sesquiterpenoids	http://www.wikidata.org/entity/Q14853669	Plectris	54322.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Coleoptera']	['Scarabaeidae']	['Unknown']	['Plectris']	['Unknown']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	0	5.444644451141357	1
762	10250	-1							1.0	0.7217265	ISDB	http://www.wikidata.org/entity/Q110198001	ZBLCPASIFDWVAL-UHFFFAOYSA-N	InChI=1S/C17H22O4/c1-9(2)11-4-5-16(3)13(11)6-12-14(18)10-7-17(19,20-8-10)15(12)21-16/h10-11,13,19H,1,4-8H2,2-3H3	C=C(C)C1CCC2(C)OC3=C(CC12)C(=O)C1COC3(O)C1	C17H22O4		290.151809184	1-hydroxy-4-methyl-7-(prop-1-en-2-yl)-3,14-dioxatetracyclo[10.2.1.0²,¹⁰.0⁴,⁸]pentadec-2(10)-en-11-one	ZBLCPASIFDWVAL	Terpenoids	Meroterpenoids	Miscellaneous meroterpenoids	http://www.wikidata.org/entity/Q7189389	Phyllosticta capitalensis	950086.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Botryosphaeriales']	['Phyllostictaceae']	['Unknown']	['Phyllosticta']	['Phyllosticta capitalensis']		['Eukaryota']									1	0	3.8869059085845947	1
763	10244	144	Shikimates and Phenylpropanoids	0.6	Phenolic acids (C6-C1)	0.6	Simple phenolic acids	0.6	35.0	0.0	MS1_match	http://www.wikidata.org/entity/Q82113722	GPNCYIZKJTXKRO-UHFFFAOYSA-N	InChI=1S/C9H10O3/c1-6-4-3-5-7(10)8(6)9(11)12-2/h3-5,10H,1-2H3	COC(=O)c1c(C)cccc1O	C9H10O3	pos_1_1proton	166.06299418	methyl 2-hydroxy-6-methylbenzoate	GPNCYIZKJTXKRO	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids	http://www.wikidata.org/entity/Q456474	Polyergus rufescens	637432.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Formicini']	['Polyergus']	['Polyergus rufescens']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	7.5	1
764	10238	427	Shikimates and Phenylpropanoids	0.5	Diarylheptanoids	0.5	Linear diarylheptanoids	0.5	1.0	0.41082624	ISDB	http://www.wikidata.org/entity/Q105300075	VZZQQZMZDJETCS-GUKRZAEASA-N	InChI=1S/C20H20O5/c1-25-20-12-15(6-11-19(20)24)5-10-18(23)13-17(22)9-4-14-2-7-16(21)8-3-14/h2-4,6-9,11-13,21-22,24H,5,10H2,1H3/b9-4+,17-13-	COc1cc(CCC(=O)/C=C(O)/C=C/c2ccc(O)cc2)ccc1O	C20H20O5		340.13107374	(4Z,6E)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)hepta-4,6-dien-3-one	VZZQQZMZDJETCS	Shikimates and Phenylpropanoids	Diarylheptanoids	Linear diarylheptanoids	http://www.wikidata.org/entity/Q15318723	Aframomum letestuanum	791472.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Zingiberales']	['Zingiberaceae']	['Unknown']	['Aframomum']	['Aframomum letestuanum']		['Eukaryota']									1	3	4.143304824829102	1
765	10234	-1							1.0	0.7747579	ISDB	http://www.wikidata.org/entity/Q27137414	LWCKQMHMTSRRAA-QGQQYVBWSA-N	InChI=1S/C15H16O3/c1-9-4-3-5-11-7-13(18-15(11)16)14-10(2)8-17-12(14)6-9/h4,7-8,13H,3,5-6H2,1-2H3/b9-4+/t13-/m1/s1	C/C1=C\CCC2=C[C@@H](OC2=O)c2c(C)coc2C1	C15H16O3		244.109944372	linderalactone	LWCKQMHMTSRRAA	Terpenoids	Sesquiterpenoids	Germacrane sesquiterpenoids	http://www.wikidata.org/entity/Q10906590	Neolitsea zeylanica	5699232.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Laurales']	['Lauraceae']	['Unknown']	['Neolitsea']	['Neolitsea zeylanica']		['Eukaryota']									1	0	4.099031448364258	1
781	10233	-1							3.0	0.27491808	ISDB	http://www.wikidata.org/entity/Q105221047	QHOKXDBQIFVQBR-QJPTWQEYSA-N	InChI=1S/C12H16O2/c1-8-3-4-11(14)12(2)6-5-9(13)7-10(8)12/h5-6,10-11,14H,1,3-4,7H2,2H3/t10-,11+,12+/m0/s1	C=C1CC[C@@H](O)[C@]2(C)C=CC(=O)C[C@@H]12	C12H16O2		192.115029752	(4aR,5R,8aS)-5-hydroxy-4a-methyl-8-methylidene-5,6,7,8a-tetrahydro-1H-naphthalen-2-one	QHOKXDBQIFVQBR	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q11108871	Caragana korshinskii	83083.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Caraganeae']	['Caragana']	['Caragana korshinskii']		['Eukaryota']									1	0	2.099672317504883	1
782	10228	465	Terpenoids	1.0	Apocarotenoids	1.0	Megastigmanes	1.0	6.0	0.57657444	ISDB	http://www.wikidata.org/entity/Q81986486	DUPDJVDPPBFBPL-UHFFFAOYSA-N	InChI=1S/C13H20O/c1-10-6-5-8-12(3,4)13(10)9-7-11(2)14-13/h5-6,11H,1,7-9H2,2-4H3	C=C1C=CCC(C)(C)C12CCC(C)O2	C13H20O		192.15141526	2,10,10-trimethyl-6-methylidene-1-oxaspiro[4.5]dec-7-ene	DUPDJVDPPBFBPL	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q469652	Liquidambar styraciflua	62530.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Saxifragales']	['Altingiaceae']	['Unknown']	['Liquidambar']	['Liquidambar styraciflua']		['Eukaryota']									1	3	4.806297779083252	1
790	10227	2	Shikimates and Phenylpropanoids	1.0	Aromatic polyketides	1.0	Sorbicilinoids	1.0	5.0	0.27679425	ISDB	http://www.wikidata.org/entity/Q104200265	WIVWGHWOKIKGKG-UHFFFAOYSA-N	InChI=1S/C13H16O4/c1-9-7-10(13(17)8-12(9)16)11(15)5-3-2-4-6-14/h2,4,7-8,14,16-17H,3,5-6H2,1H3	Cc1cc(C(=O)CCC=CCO)c(O)cc1O	C13H16O4		236.104858992	1-(2,4-dihydroxy-5-methylphenyl)-6-hydroxyhex-4-en-1-one	WIVWGHWOKIKGKG	Polyketides	Aromatic polyketides	Sorbicilinoids	http://www.wikidata.org/entity/Q2749932	Trichoderma reesei	500701.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Hypocreaceae']	['Unknown']	['Hypocrea']	['Trichoderma reesei']		['Eukaryota']									1	3	3.6071770191192627	1
