	feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1301	6705	3.0	0.6459298	ISDB	http://www.wikidata.org/entity/Q104667248	HVDXPWBGDAVMSY-UHFFFAOYSA-N	InChI=1S/C13H24O/c1-3-4-5-6-7-8-9-10-11-12-13(2)14/h11-12H,3-10H2,1-2H3	CCCCCCCCCC=CC(C)=O	C13H24O	nan	196.182715388	tridec-3-en-2-one	HVDXPWBGDAVMSY	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	http://www.wikidata.org/entity/Q338831	Odocoileus hemionus	410149.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Artiodactyla']	['Cervidae']	['Unknown']	['Odocoileus']	['Odocoileus hemionus']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	0	4.583719253540039	1	-1	nan	nan	nan	nan	nan	nan
1302	6713	13.0	0.23961413	ISDB	http://www.wikidata.org/entity/Q104938348	BMDDBWUMPTVTHL-QPQQCKHGSA-N	InChI=1S/C18H32O4/c1-6-9-16-14(8-3)12-18(4,22-16)11-13(7-2)15(19)10-17(20)21-5/h6,9,13-16,19H,7-8,10-12H2,1-5H3/b9-6+/t13-,14-,15-,16+,18-/m1/s1	C/C=C/[C@@H]1O[C@](C)(C[C@@H](CC)[C@H](O)CC(=O)OC)C[C@H]1CC	C18H32O4	nan	312.230059504	methyl (3R,4R)-4-{[(2R,4R,5R)-4-ethyl-2-methyl-5-[(1E)-prop-1-en-1-yl]oxolan-2-yl]methyl}-3-hydroxyhexanoate	BMDDBWUMPTVTHL	Polyketides	Linear polyketides	Open-chain polyketides	http://www.wikidata.org/entity/Q4115766	Plakortis simplex	373945.0	['Eukaryota']	['Metazoa']	['Porifera']	['Homoscleromorpha']	['Homosclerophorida']	['Plakinidae']	['Unknown']	['Plakortis']	['Plakortis simplex']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	0	2.958456516265869	1	-1	nan	nan	nan	nan	nan	nan
1303	6715	4.0	0.5803814	ISDB	http://www.wikidata.org/entity/Q27269839	POPNTVRHTZDEBW-UHFFFAOYSA-N	InChI=1S/C13H24O2/c1-5-13(14)15-10-9-12(4)8-6-7-11(2)3/h7,12H,5-6,8-10H2,1-4H3	CCC(=O)OCCC(C)CCC=C(C)C	C13H24O2	nan	212.177630008	citronellyl propionate	POPNTVRHTZDEBW	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q15208935	Pelargonium quercifolium	795465.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Geraniales']	['Geraniaceae']	['Unknown']	['Pelargonium']	['Pelargonium quercifolium']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	2	4.321525573730469	1	91	Fatty acids	0.6346153846153846	Monoterpenoids	0.8076923076923077	Guaiane sesquiterpenoids	0.3269230769230769
1304	6717	1.0	0.39268225	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	PYOHXSMHFJQYIR	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.5707290172576904	1	13	Amino acids and Peptides	0.2619047619047619	Small peptides	0.2619047619047619	Dipeptides	0.17857142857142858
1305	6718	1.0	0.71546024	ISDB	http://www.wikidata.org/entity/Q27142982	FSXRLASFHBWESK-HOTGVXAUSA-N	InChI=1S/C18H20N2O4/c19-15(10-12-4-2-1-3-5-12)17(22)20-16(18(23)24)11-13-6-8-14(21)9-7-13/h1-9,15-16,21H,10-11,19H2,(H,20,22)(H,23,24)/t15-,16-/m0/s1	N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	C18H20N2O4	nan	328.14230712	Phe-Tyr	FSXRLASFHBWESK	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q177932	Brassica napus	309234.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Brassica']	['Brassica napus']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	5.3618409633636475	1	13	Amino acids and Peptides	0.2619047619047619	Small peptides	0.2619047619047619	Dipeptides	0.17857142857142858
1306	672	6.0	0.35550058	ISDB	http://www.wikidata.org/entity/Q104915101	ANEUKYPPHAYUKL-VDFANVJKSA-N	InChI=1S/C21H28O8/c1-10-12-7-13(23)14-19(8-12,16(10)24)21(26)17(25)15-18(3,9-27-11(2)22)5-4-6-20(14,15)28-29-21/h12-15,17,23,25-26H,1,4-9H2,2-3H3/t12-,13-,14-,15-,17+,18+,19+,20-,21-/m1/s1	C=C1C(=O)[C@]23C[C@H]1C[C@@H](O)[C@H]2[C@]12CCC[C@@](C)(COC(C)=O)[C@H]1[C@H](O)[C@@]3(O)OO2	C21H28O8	nan	408.178417856	[(1R,2S,3R,5S,8S,9S,10S,11S,12R)-3,9,10-trihydroxy-12-methyl-6-methylidene-7-oxo-16,17-dioxapentacyclo[7.6.2.1⁵,⁸.0¹,¹¹.0²,⁸]octadecan-12-yl]methyl acetate	ANEUKYPPHAYUKL	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids	http://www.wikidata.org/entity/Q28812808	Phlomoides umbrosa	7054124.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Phlomideae']	['Phlomoides']	['Phlomoides umbrosa']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	3.9220023155212402	1	766	Terpenoids	1.0	Diterpenoids	1.0	Kaurane and Phyllocladane diterpenoids	1.0
1307	6725	59.0	0.6638912	ISDB	http://www.wikidata.org/entity/Q27165538	JLIDBLDQVAYHNE-UHFFFAOYSA-N	InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)	CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O	C15H20O4	nan	264.13615912	5-(1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl)-3-methylpenta-2,4-dienoic acid	JLIDBLDQVAYHNE	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q4046999	Pison	202804.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Crabronidae']	['Trypoxylini']	['Pison']	['Unknown']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	nan	nan	nan	nan	5	1	8.155564785003662	1	29	Terpenoids	0.9310344827586207	Sesquiterpenoids	0.9310344827586207	Eudesmane sesquiterpenoids	0.5689655172413793
1308	6739	11.0	0.33734274	ISDB	http://www.wikidata.org/entity/Q105264928	TUPBJUPCUBTDSL-ZRDOBDDISA-N	InChI=1S/C14H22O2/c1-13(2)6-8-10(7-13)14(3)5-4-9(14)12(16)11(8)15/h4,8,10-12,15-16H,5-7H2,1-3H3/t8-,10+,11+,12?,14?/m1/s1	CC1(C)C[C@H]2[C@@H](C1)[C@H](O)C(O)C1=CCC12C	C14H22O2	nan	222.16197994400002	(4S,4aR,7aS)-6,6,7b-trimethyl-1H,3H,4H,4aH,5H,7H,7aH-cyclobuta[e]indene-3,4-diol	TUPBJUPCUBTDSL	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	http://www.wikidata.org/entity/Q4922375	Microcosmus vulgaris	331382.0	['Eukaryota']	['Metazoa']	['Chordata']	['Ascidiacea']	['Stolidobranchia']	['Pyuridae']	['Unknown']	['Microcosmus']	['Microcosmus sulcatus']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	0	3.3493709564208984	1	-1	nan	nan	nan	nan	nan	nan
1309	6755	1.0	0.64975554	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	VNYDHJARLHNEGA	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.599022150039673	1	13	Amino acids and Peptides	0.2619047619047619	Small peptides	0.2619047619047619	Dipeptides	0.17857142857142858
1310	6756	1.0	0.6450234	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	FPPCCQGECVKLDY	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.5800936222076416	1	13	Amino acids and Peptides	0.2619047619047619	Small peptides	0.2619047619047619	Dipeptides	0.17857142857142858
